
2024/12/22 (16:47:52) | ===> btop++ v.1.4.0
2024/12/22 (16:47:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/22 (16:47:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/22 (16:53:17) | ===> btop++ v.1.4.0
2024/12/22 (16:53:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/22 (16:53:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/23 (08:10:32) | ===> btop++ v.1.4.0
2024/12/23 (08:10:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/23 (08:10:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/23 (08:12:28) | ===> btop++ v.1.4.0
2024/12/23 (08:12:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/23 (08:12:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/23 (08:29:39) | ===> btop++ v.1.4.0
2024/12/23 (08:29:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/23 (08:29:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/24 (16:58:14) | ===> btop++ v.1.4.0
2024/12/24 (16:58:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/24 (16:58:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/24 (17:46:51) | ===> btop++ v.1.4.0
2024/12/24 (17:46:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/24 (17:46:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/24 (18:57:20) | ===> btop++ v.1.4.0
2024/12/24 (18:57:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/24 (18:57:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/25 (21:11:41) | ===> btop++ v.1.4.0
2024/12/25 (21:11:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/25 (21:11:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/25 (21:13:11) | ===> btop++ v.1.4.0
2024/12/25 (21:13:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/25 (21:13:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/26 (10:16:25) | ===> btop++ v.1.4.0
2024/12/26 (10:16:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/26 (10:16:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/08 (16:15:23) | ===> btop++ v.1.4.0
2025/01/08 (16:15:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/08 (16:15:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/08 (19:22:31) | ===> btop++ v.1.4.0
2025/01/08 (19:22:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/08 (19:22:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/08 (19:27:48) | ===> btop++ v.1.4.0
2025/01/08 (19:27:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/08 (19:27:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/12 (18:00:36) | ===> btop++ v.1.4.0
2025/01/12 (18:00:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/12 (18:00:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/13 (10:10:14) | ===> btop++ v.1.4.0
2025/01/13 (10:10:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/13 (10:10:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/13 (14:42:21) | ===> btop++ v.1.4.0
2025/01/13 (14:42:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/13 (14:42:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/15 (09:39:25) | ===> btop++ v.1.4.0
2025/01/15 (09:39:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (09:39:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/16 (19:43:42) | ===> btop++ v.1.4.0
2025/01/16 (19:43:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/16 (19:43:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/16 (19:46:46) | ===> btop++ v.1.4.0
2025/01/16 (19:46:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/16 (19:46:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/22 (10:53:06) | ===> btop++ v.1.4.0
