[2025-11-29 19:26:39.298] [info]  DiscordSplash.signalReady
[2025-11-29 19:26:39.357] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-11-29 19:26:39.358] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-11-29 19:26:39.359] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-11-29 19:26:39.359] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-11-29 19:26:39.360] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-11-29 19:26:39.360] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-11-29 19:26:39.360] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-11-29 19:26:39.360] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-11-29 19:26:39.361] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-11-29 19:26:39.361] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-11-29 19:26:39.361] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-11-29 19:26:39.361] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-11-29 19:26:39.362] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-11-29 19:26:39.362] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-11-29 19:26:39.833] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-11-29 19:26:39.834] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-11-29 19:26:40.233] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-11-29 19:26:40.234] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-11-29 19:26:40.255] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-11-29 19:26:40.256] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-11-29 19:26:40.271] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-11-29 19:26:40.272] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-11-29 19:26:40.275] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-11-29 19:26:40.276] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-11-29 19:26:40.298] [info]  Splash.updateCountdownSeconds: undefined
[2025-11-29 19:26:40.315] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-11-29 19:26:40.316] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-11-29 19:26:40.317] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-11-29 19:26:40.317] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-11-29 19:26:40.343] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-11-29 19:26:40.343] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-11-29 19:26:40.370] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
